Date,Location,Site,Observer,Depth (m),Visibility (m),Replicate,Interval,Genus,Species,Scientific Name,Count,Size Est (cm)
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,moluccensis,Pomacentrus moluccensis,4.0,5.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,moluccensis,Pomacentrus moluccensis,1.0,6.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,1.0,5.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,1.0,6.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,2.0,5.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,4.0,7.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,2.0,5.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Pomacentrus,bankanensis,Pomacentrus bankanensis,1.0,3.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Pomacentrus,coelestis,Pomacentrus coelestis,2.0,3.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,3.0,30-0,Pomacentrus,coelestis,Pomacentrus coelestis,3.0,3.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,1.0,6.0
25-Mar-23,"Calatagan, Batangas",BuntongGasang,KSSorgon,<1,10.0,1.0,30-0,Pomacentrus,bankanensis,Pomacentrus bankanensis,2.0,6.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,2.0,5.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,adelus,Pomacentrus adelus,1.0,6.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,coelestis,Pomacentrus coelestis,7.0,3.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,coelestis,Pomacentrus coelestis,1.0,2.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,2.0,40-70,Pomacentrus,vaiuli,Pomacentrus vaiuli,5.0,6.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,adelus,Pomacentrus adelus,1.0,6.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,adelus,Pomacentrus adelus,3.0,7.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,2.0,5.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,1.0,7.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,bankanensis,Pomacentrus bankanensis,6.0,6.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,coelestis,Pomacentrus coelestis,3.0,3.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,3.0,0-30,Pomacentrus,coelestis,Pomacentrus coelestis,2.0,2.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,2.0,6.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,vaiuli,Pomacentrus vaiuli,1.0,7.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,1.0,7.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,1.0,8.0
26-Mar-23,"Calatagan, Batangas",QuilitisanMPA,KSSorgon,1.6,9.0,1.0,30-0,Pomacentrus,adelus,Pomacentrus adelus,2.0,7.0
