Trial,Entry,Replication,DaysAfterTransplanting,Stage,"Cry1Ac,ppmDW"
1,D2,1,13,Vegetative,13.009
1,D2,2,13,Vegetative,17.992
1,D2,3,13,Vegetative,18.235
1,D2,4,13,Vegetative,18.723
1,D3,1,13,Vegetative,20.876
1,D3,2,13,Vegetative,20.569
1,D3,3,13,Vegetative,15.273
1,D3,4,13,Vegetative,21.448
1,M1,1,13,Vegetative,17.690
1,M1,2,13,Vegetative,18.788
1,M1,3,13,Vegetative,14.266
1,M1,4,13,Vegetative,18.575
1,M4,1,13,Vegetative,7.541
1,M4,2,13,Vegetative,16.605
1,M4,3,13,Vegetative,6.283
1,M4,4,13,Vegetative,11.888
1,M8,1,13,Vegetative,10.171
1,M8,2,13,Vegetative,7.764
1,M8,3,13,Vegetative,11.478
1,M8,4,13,Vegetative,13.895
1,D2,1,27,Reproductive,26.003
1,D2,2,27,Reproductive,25.412
1,D2,3,27,Reproductive,23.392
1,D2,4,27,Reproductive,24.687
1,D3,1,27,Reproductive,23.499
1,D3,2,27,Reproductive,26.361
1,D3,3,27,Reproductive,21.817
1,D3,4,27,Reproductive,26.494
1,M1,1,27,Reproductive,24.582
1,M1,2,27,Reproductive,26.380
1,M1,3,27,Reproductive,23.399
1,M1,4,27,Reproductive,20.060
1,M4,1,27,Reproductive,23.613
1,M4,2,27,Reproductive,17.849
1,M4,3,27,Reproductive,11.889
1,M4,4,27,Reproductive,19.946
1,M8,1,27,Reproductive,22.579
1,M8,2,27,Reproductive,23.105
1,M8,3,27,Reproductive,22.922
1,M8,4,27,Reproductive,22.259
1,D2,1,76,LateReproductive,21.956
1,D2,2,76,LateReproductive,19.601
1,D2,3,76,LateReproductive,17.860
1,D2,4,76,LateReproductive,20.475
1,D3,1,76,LateReproductive,22.917
1,D3,2,76,LateReproductive,18.974
1,D3,3,76,LateReproductive,18.045
1,D3,4,76,LateReproductive,19.348
1,M1,1,76,LateReproductive,20.816
1,M1,2,76,LateReproductive,19.834
1,M1,3,76,LateReproductive,19.436
1,M1,4,76,LateReproductive,19.629
1,M4,1,76,LateReproductive,21.929
1,M4,2,76,LateReproductive,17.924
1,M4,3,76,LateReproductive,19.237
1,M4,4,76,LateReproductive,18.370
1,M8,1,76,LateReproductive,24.974
1,M8,2,76,LateReproductive,19.181
1,M8,3,76,LateReproductive,19.434
1,M8,4,76,LateReproductive,20.817
2,D2,1,25,Vegetative,19.269
2,D2,2,25,Vegetative,18.629
2,D2,3,25,Vegetative,18.878
2,D2,4,25,Vegetative,18.713
2,D3,1,25,Vegetative,18.569
2,D3,2,25,Vegetative,19.429
2,D3,3,25,Vegetative,20.030
2,D3,4,25,Vegetative,18.681
2,M1,1,25,Vegetative,18.721
2,M1,2,25,Vegetative,18.282
2,M1,3,25,Vegetative,18.681
2,M1,4,25,Vegetative,20.565
2,M4,1,25,Vegetative,18.149
2,M4,2,25,Vegetative,19.185
2,M4,3,25,Vegetative,19.313
2,M4,4,25,Vegetative,20.224
2,M8,1,25,Vegetative,18.769
2,M8,2,25,Vegetative,19.156
2,M8,3,25,Vegetative,18.014
2,M8,4,25,Vegetative,18.81
2,D2,1,46,Reproductive,19.871
2,D2,2,46,Reproductive,20.328
2,D2,3,46,Reproductive,25.025
2,D2,4,46,Reproductive,22.078
2,D3,1,46,Reproductive,19.616
2,D3,2,46,Reproductive,19.034
2,D3,3,46,Reproductive,23.639
2,D3,4,46,Reproductive,19.312
2,M1,1,46,Reproductive,19.258
2,M1,2,46,Reproductive,19.436
2,M1,3,46,Reproductive,23.689
2,M1,4,46,Reproductive,24.110
2,M4,1,46,Reproductive,21.062
2,M4,2,46,Reproductive,18.962
2,M4,3,46,Reproductive,24.127
2,M4,4,46,Reproductive,20.094
2,M8,1,46,Reproductive,19.212
2,M8,2,46,Reproductive,18.831
2,M8,3,46,Reproductive,23.166
2,M8,4,46,Reproductive,21.058
2,D2,1,81,LateReproductive,17.903
2,D2,2,81,LateReproductive,24.743
2,D2,3,81,LateReproductive,25.251
2,D2,4,81,LateReproductive,25.166
2,D3,1,81,LateReproductive,18.614
2,D3,2,81,LateReproductive,26.321
2,D3,3,81,LateReproductive,23.258
2,D3,4,81,LateReproductive,23.258
2,M1,1,81,LateReproductive,19.207
2,M1,2,81,LateReproductive,23.223
2,M1,3,81,LateReproductive,23.779
2,M1,4,81,LateReproductive,23.073
2,M4,1,81,LateReproductive,19.772
2,M4,2,81,LateReproductive,22.626
2,M4,3,81,LateReproductive,24.019
2,M4,4,81,LateReproductive,24.149
2,M8,1,81,LateReproductive,20.579
2,M8,2,81,LateReproductive,25.639
2,M8,3,81,LateReproductive,23.073
2,M8,4,81,LateReproductive,24.860
